Date,Time,Numbers
12/3/19,E,21
12/3/19,M,66
12/4/19,E,35
12/4/19,M,49
12/5/19,E,13
12/5/19,M,72
12/6/19,E,99
12/6/19,M,94
12/7/19,E,94
12/7/19,M,23
12/8/19,E,92
12/8/19,M,07
12/9/19,E,77
12/9/19,M,45
12/10/19,E,78
12/10/19,M,16
12/11/19,E,25
12/11/19,M,62
12/12/19,E,94
12/12/19,M,14
12/13/19,E,78
12/13/19,M,10
12/14/19,E,05
12/14/19,M,33
12/15/19,E,93
12/15/19,M,29
12/16/19,E,39
12/16/19,M,17
12/17/19,E,96
12/17/19,M,11
12/18/19,E,18
12/18/19,M,56
12/19/19,E,36
12/19/19,M,32
12/20/19,E,51
12/20/19,M,87
12/21/19,E,05
12/21/19,M,10
12/22/19,E,17
12/22/19,M,55
12/23/19,E,94
12/23/19,M,75
12/24/19,E,30
12/24/19,M,51
12/25/19,E,76
12/25/19,M,39
12/26/19,E,71
12/26/19,M,47
12/27/19,E,47
12/27/19,M,34
12/28/19,E,32
12/28/19,M,28
12/29/19,E,69
12/29/19,M,15
12/30/19,E,65
12/30/19,M,83
12/31/19,E,14
12/31/19,M,79
1/1/20,E,31
1/1/20,M,30
1/2/20,E,50
1/2/20,M,54
1/3/20,E,80
1/3/20,M,70
1/4/20,E,82
1/4/20,M,78
1/5/20,E,89
1/5/20,M,44
1/6/20,E,87
1/6/20,M,07
1/7/20,E,59
1/7/20,M,73
1/8/20,E,98
1/8/20,M,68
1/9/20,E,24
1/9/20,M,20
1/10/20,E,15
1/10/20,M,53
1/11/20,E,56
1/11/20,M,45
1/12/20,E,84
1/12/20,M,97
1/13/20,E,01
1/13/20,M,24
1/14/20,E,49
1/14/20,M,82
1/15/20,E,93
1/15/20,M,96
1/16/20,E,75
1/16/20,M,35
1/17/20,E,44
1/17/20,M,35
1/18/20,E,88
1/18/20,M,89
1/19/20,E,61
1/19/20,M,80
1/20/20,E,85
1/20/20,M,42
1/21/20,E,58
1/21/20,M,32
1/22/20,E,41
1/22/20,M,90
1/23/20,E,27
1/23/20,M,30
1/24/20,E,55
1/24/20,M,41
1/25/20,E,10
1/25/20,M,41
1/26/20,E,23
1/26/20,M,65
1/27/20,E,03
1/27/20,M,95
1/28/20,E,98
1/28/20,M,96
1/29/20,E,33
1/29/20,M,49
1/30/20,E,39
1/30/20,M,04
1/31/20,E,88
1/31/20,M,11
2/1/20,E,18
2/1/20,M,39
2/2/20,E,70
